District,Division,Year,Crop Type,Area(acres),Production(tons)
Khulna,Khulna,2006,Aus Rice,10750,5557
Jessor,Khulna,2006,Aus Rice,72520,75625
Satkhira,Khulna,2006,Aus Rice,3720,3606
Chuadanga,Khulna,2006,Aus Rice,20660,15796
Chittagong,Chittagong,2006,Aus Rice,91835,86859
Cox's Bazar,Chittagong,2006,Aus Rice,1725,1897
Chandpur,Chittagong,2006,Aus Rice,37490,24838
Feni,Chittagong,2006,Aus Rice,34435,25262
Comilla,Chittagong,2006,Aus Rice,116225,90069
Rangamati,Chittagong,2006,Aus Rice,12790,7989
Noakhali,Chittagong,2006,Aus Rice,82155,56648
Khagrachhari,Chittagong,2006,Aus Rice,6585,5111
Dinajpur,North region,2006,Aus Rice,19260,14343
Rangpur,North region,2006,Aus Rice,0,0
Rajshahi,North region,2006,Aus Rice,76925,67169
Bogura,North region,2006,Aus Rice,20940,15891
Khulna,Khulna,2007,Aus Rice,13695,8060
Jessor,Khulna,2007,Aus Rice,86660,80571
Satkhira,Khulna,2007,Aus Rice,3175,2955
Chuadanga,Khulna,2007,Aus Rice,27555,19851
Chittagong,Chittagong,2007,Aus Rice,99600,93523
Cox's Bazar,Chittagong,2007,Aus Rice,1765,1837
Chandpur,Chittagong,2007,Aus Rice,23450,15610
Feni,Chittagong,2007,Aus Rice,32765,18206
Comilla,Chittagong,2007,Aus Rice,77375,50677
Rangamati,Chittagong,2007,Aus Rice,15435,8723
Noakhali,Chittagong,2007,Aus Rice,98060,47722
Khagrachhari,Chittagong,2007,Aus Rice,6545,5791
Dinajpur,North region,2007,Aus Rice,25145,17608
Rangpur,North region,2007,Aus Rice,,
Rajshahi,North region,2007,Aus Rice,105520,84331
Bogura,North region,2007,Aus Rice,52555,44430
Khulna,Khulna,2008,Aus Rice,18980,11594
Jessor,Khulna,2008,Aus Rice,99345,93031
Satkhira,Khulna,2008,Aus Rice,6080,4559
Chuadanga,Khulna,2008,Aus Rice,33950,27860
Chittagong,Chittagong,2008,Aus Rice,103450,102177
Cox's Bazar,Chittagong,2008,Aus Rice,1785,1871
Chandpur,Chittagong,2008,Aus Rice,31390,23942
Feni,Chittagong,2008,Aus Rice,34055,24654
Comilla,Chittagong,2008,Aus Rice,124460,99278
Rangamati,Chittagong,2008,Aus Rice,16345,9965
Noakhali,Chittagong,2008,Aus Rice,100010,50873
Khagrachhari,Chittagong,2008,Aus Rice,6440,4864
Dinajpur,North region,2008,Aus Rice,22755,22245
Rangpur,North region,2008,Aus Rice,0,0
Rajshahi,North region,2008,Aus Rice,123455,115356
Bogura,North region,2008,Aus Rice,71915,60130
Khulna,Khulna,2009,Aus Rice,14517,8320
Jessor,Khulna,2009,Aus Rice,80943,71742
Satkhira,Khulna,2009,Aus Rice,8467,7425
Chuadanga,Khulna,2009,Aus Rice,25372,19735
Chittagong,Chittagong,2009,Aus Rice,104473,102418
Cox's Bazar,Chittagong,2009,Aus Rice,1632,2209
Chandpur,Chittagong,2009,Aus Rice,29625,21373
Feni,Chittagong,2009,Aus Rice,29975,24875
Comilla,Chittagong,2009,Aus Rice,160828,137086
Rangamati,Chittagong,2009,Aus Rice,15118,9203
Noakhali,Chittagong,2009,Aus Rice,110616,67155
Khagrachhari,Chittagong,2009,Aus Rice,5891,4382
Dinajpur,North region,2009,Aus Rice,9578,7826
Rangpur,North region,2009,Aus Rice,0,0
Rajshahi,North region,2009,Aus Rice,76695,63960
Bogura,North region,2009,Aus Rice,40894,27889
Khulna,Khulna,2010,Aus Rice,13986,8569
Jessor,Khulna,2010,Aus Rice,110794,106195
Satkhira,Khulna,2010,Aus Rice,21273,20849
Chuadanga,Khulna,2010,Aus Rice,28466,23164
Chittagong,Chittagong,2010,Aus Rice,108306,102349
Cox's Bazar,Chittagong,2010,Aus Rice,12494,13572
Chandpur,Chittagong,2010,Aus Rice,29093,22558
Feni,Chittagong,2010,Aus Rice,29604,22156
Comilla,Chittagong,2010,Aus Rice,161742,141448
Rangamati,Chittagong,2010,Aus Rice,14254,9280
Noakhali,Chittagong,2010,Aus Rice,146057,91366
Khagrachhari,Chittagong,2010,Aus Rice,6072,4763
Dinajpur,North region,2010,Aus Rice,10705,8603
Rangpur,North region,2010,Aus Rice,0,0
